0	0	a	a
0	0	b	b
0	0	c	c
0	0	d	d
0	0	e	e
0	0	f	f
0	0	g	g
0	0	h	h
0	0	i	i
0	0	j	j
0	0	k	k
0	0	l	l
0	0	m	m
0	0	n	n
0	0	o	o
0	0	p	p
0	0	q	k
0	0	r	r
0	0	s	s
0	0	t	t
0	0	u	u
0	0	v	v
0	0	w	w
0	0	x	x
0	0	y	y
0	0	z	z
0   	0   	2   	2
0   	0   	3   	3
0   	0   	4   	4
0	2	a	a
0	2	b	b
0	2	c	c
0	2	d	d
0	2	e	e
0	2	f	f
0	2	g	g
0	2	h	h
0	2	i	i
0	2	j	j
0	2	k	k
0	2	l	l
0	2	m	m
0	2	n	n
0	2	o	o
0	2	p	p
0	2	q	k
0	2	r	r
0	2	s	s
0	2	t	t
0	2	u	u
0	2	v	v
0	2	w	w
0	1	x	k
0	2	y	y
0	2	z	s
0   	2   	2   	2
0   	2   	3   	3
0   	2   	4   	4
1	2	eps	s
2
